project_id,district,stage,days_in_stage,legal_case_pending,rr_compliance_pct,revenue_dept_delay_flag,num_landowners,past_disputes_count,risk_label,lat,lng
LA-1028,Nagpur,Possession,82,1,55,1,51,1,1,21.234303,78.961445
LA-1029,Nashik,Award,7,0,31,0,232,4,0,19.896506,73.645209
LA-1030,Nashik,Possession,74,1,21,1,43,1,1,19.878794,73.6705
LA-1031,Pune,Award,7,1,32,1,20,0,1,18.414055,73.82985
LA-1032,Aurangabad,Award,33,0,72,1,26,0,0,19.989338,75.473258
LA-1033,Aurangabad,Survey,23,0,51,0,217,1,0,19.884657,75.384521
LA-1034,Kolhapur,Compensation,85,0,35,1,153,0,1,16.695178,74.333848
LA-1035,Kolhapur,Notification,19,0,51,0,245,0,0,16.587014,74.233212
LA-1036,Kolhapur,Survey,112,0,51,0,276,0,0,16.749867,74.2018
LA-1037,Nashik,Survey,19,0,30,0,63,4,1,20.1079,73.67232
LA-1038,Aurangabad,Compensation,36,0,29,1,291,1,0,19.974656,75.45608
LA-1039,Aurangabad,Notification,29,0,34,1,206,0,0,19.914016,75.428248
LA-1040,Nagpur,Possession,60,0,36,0,36,0,0,21.018384,78.988635
LA-1041,Nashik,Possession,82,0,59,0,166,0,0,19.881219,73.793478
LA-1042,Amravati,Survey,2,1,37,0,259,0,1,20.802193,77.775812
LA-1043,Nashik,Notification,1,0,74,0,258,1,0,19.924744,73.827327
LA-1044,Amravati,Survey,47,1,92,0,13,0,0,20.828098,77.913456
LA-1045,Nagpur,Award,69,1,44,0,143,0,1,21.073814,79.112131
LA-1046,Pune,Survey,20,0,78,1,14,1,0,18.485917,73.868765
LA-1047,Aurangabad,Survey,11,0,97,0,218,1,0,20.009095,75.208397
LA-1048,Nagpur,Possession,106,0,41,0,277,0,0,21.178913,78.957072
LA-1049,Aurangabad,Possession,2,0,49,0,52,0,0,19.976692,75.249504
LA-1050,Kolhapur,Possession,67,0,63,1,115,1,0,16.768105,74.103041
LA-1051,Pune,Award,87,0,51,1,157,2,1,18.404151,73.929706
LA-1052,Pune,Possession,119,0,70,1,127,1,1,18.591176,73.923699
LA-1053,Nagpur,Notification,12,0,65,0,106,0,0,21.07833,78.979017
LA-1054,Pune,Compensation,20,0,40,0,245,1,0,18.562132,73.957524
LA-1055,Amravati,Notification,5,0,51,0,195,1,0,20.889689,77.676036
LA-1056,Pune,Notification,37,0,58,1,221,1,0,18.669702,73.797053
LA-1057,Aurangabad,Possession,38,0,31,1,55,1,0,19.805265,75.267993
LA-1058,Aurangabad,Compensation,94,0,66,1,296,1,1,19.809939,75.304992
LA-1059,Aurangabad,Compensation,9,1,37,1,85,2,1,20.005402,75.269699
LA-1060,Aurangabad,Compensation,98,0,40,1,92,2,1,19.733593,75.339985
LA-1061,Amravati,Award,53,0,32,0,198,4,0,20.996407,77.751822
LA-1062,Nashik,Possession,44,0,40,1,108,0,0,20.065098,73.935771
LA-1063,Kolhapur,Compensation,99,0,27,0,275,2,0,16.805914,74.110078
LA-1064,Nagpur,Award,116,1,65,0,100,2,1,21.288132,78.980854
LA-1065,Aurangabad,Survey,86,1,26,0,202,2,1,20.018881,75.209148
LA-1066,Pune,Survey,108,0,42,0,5,2,1,18.389983,73.894452
LA-1067,Aurangabad,Award,24,1,94,0,171,0,1,19.972752,75.209653
LA-1068,Pune,Award,81,1,41,0,130,1,1,18.564293,73.957632
LA-1069,Kolhapur,Possession,74,1,41,0,85,2,1,16.749203,74.246882
LA-1070,Kolhapur,Possession,30,1,48,0,255,1,1,16.593505,74.251402
LA-1071,Kolhapur,Survey,59,1,32,0,173,1,1,16.750056,74.261778
LA-1072,Pune,Compensation,110,0,21,0,77,1,1,18.665145,73.757944
LA-1073,Aurangabad,Survey,87,0,48,0,145,1,0,19.999746,75.252607
LA-1074,Kolhapur,Compensation,96,0,98,0,74,0,0,16.686739,74.188945
LA-1075,Amravati,Compensation,81,0,71,1,266,0,1,20.799384,77.807649
LA-1076,Pune,Possession,114,0,46,1,249,0,1,18.479088,73.769735
LA-1077,Pune,Notification,115,0,69,1,7,1,1,18.618317,73.7416
LA-1078,Aurangabad,Notification,81,0,98,1,67,3,1,19.93665,75.484335
LA-1079,Pune,Award,14,1,42,0,53,1,1,18.508203,73.713295
LA-1080,Pune,Possession,9,1,63,1,80,1,1,18.38693,73.947509
LA-1081,Kolhapur,Compensation,40,0,96,0,179,3,0,16.683068,74.329711
LA-1082,Aurangabad,Notification,66,0,41,0,113,1,1,19.866907,75.282464
LA-1083,Kolhapur,Compensation,109,1,62,1,187,0,1,16.833567,74.133988
LA-1084,Kolhapur,Notification,25,0,56,0,196,1,0,16.747326,74.136989
LA-1085,Aurangabad,Notification,103,1,80,1,69,0,1,19.819696,75.402529
LA-1086,Nagpur,Notification,73,0,75,1,275,0,0,21.153395,79.131042
LA-1087,Kolhapur,Possession,118,0,22,1,104,4,1,16.574817,74.328124
LA-1088,Amravati,Survey,22,1,82,1,36,1,1,21.07917,77.910844
LA-1089,Amravati,Compensation,107,0,38,0,132,0,0,20.895418,77.837178
LA-1090,Pune,Possession,110,0,42,0,47,2,0,18.51376,73.753455
LA-1091,Amravati,Possession,4,1,48,0,82,0,1,20.893985,77.702633
LA-1092,Pune,Possession,26,0,49,0,293,0,0,18.575154,73.959358
LA-1093,Nagpur,Possession,58,0,58,1,274,0,0,21.19447,79.000992
LA-1094,Aurangabad,Possession,29,1,44,1,166,2,1,19.940797,75.215057
LA-1095,Aurangabad,Award,109,0,27,1,193,1,1,19.806643,75.404284
LA-1096,Aurangabad,Compensation,98,1,77,0,251,1,1,19.820901,75.314058
LA-1097,Amravati,Possession,87,0,35,0,220,3,1,20.824975,77.905612
LA-1098,Nagpur,Compensation,37,0,91,0,172,1,0,21.192453,79.133277
LA-1099,Amravati,Award,75,0,20,0,197,0,0,20.799339,77.656726
LA-1100,Amravati,Award,70,0,24,1,287,0,1,20.966705,77.913957
LA-1101,Nagpur,Compensation,18,1,22,0,17,1,1,21.256709,79.015767
LA-1102,Nagpur,Notification,85,1,84,0,244,2,1,21.26305,79.039364
LA-1103,Nagpur,Survey,42,0,23,0,151,1,1,21.130511,79.058878
LA-1104,Nagpur,Notification,100,1,83,1,208,0,1,21.133591,78.953567
LA-1105,Aurangabad,Notification,41,0,29,1,84,1,1,19.749291,75.342255
LA-1106,Nashik,Notification,38,0,40,0,47,1,1,20.04873,73.676796
LA-1107,Nashik,Possession,34,0,65,0,93,0,0,20.093878,73.760091
LA-1108,Nagpur,Award,17,0,46,0,152,1,0,21.069197,79.043413
LA-1109,Nashik,Notification,37,0,85,0,99,0,0,19.97389,73.871652
LA-1110,Nashik,Award,25,1,60,1,155,1,1,20.099152,73.880751
LA-1111,Nagpur,Compensation,102,0,32,1,6,1,1,21.258936,78.984224
LA-1112,Nashik,Survey,76,0,28,0,26,0,0,19.920454,73.749765
LA-1113,Amravati,Compensation,87,0,55,0,11,2,0,20.952571,77.741606
LA-1114,Pune,Compensation,117,0,77,1,210,1,0,18.428148,73.752123
LA-1115,Pune,Possession,106,1,73,0,118,1,1,18.400964,73.946236
LA-1116,Nagpur,Survey,86,0,31,1,276,3,1,21.269136,79.150368
LA-1117,Aurangabad,Compensation,85,0,97,0,87,0,0,19.972352,75.250415
LA-1118,Nagpur,Compensation,27,0,33,0,183,0,0,21.22381,79.048217
LA-1119,Aurangabad,Survey,57,0,53,0,214,3,0,19.74083,75.225042
LA-1120,Pune,Survey,31,0,72,0,128,1,0,18.623519,73.895162
LA-1121,Nagpur,Compensation,6,0,39,1,117,3,1,21.127213,78.974612
LA-1122,Kolhapur,Survey,91,1,94,0,16,2,1,16.657719,74.38908
LA-1123,Amravati,Compensation,40,1,35,0,130,4,1,20.951343,77.863805
LA-1124,Nashik,Compensation,98,0,89,0,57,0,0,19.874906,73.756872
LA-1125,Aurangabad,Possession,12,0,75,0,287,1,0,19.953194,75.366869
LA-1126,Kolhapur,Notification,109,0,77,0,144,4,1,16.729731,74.366703
LA-1127,Nashik,Compensation,53,0,23,0,101,1,1,19.903477,73.80603
LA-1128,Nashik,Award,71,0,23,1,9,1,1,19.90397,73.69215
LA-1129,Nagpur,Notification,10,0,39,0,61,1,0,21.051075,79.051811
LA-1130,Nashik,Notification,45,0,29,0,73,1,0,19.864601,73.892743
LA-1131,Amravati,Notification,17,0,43,1,122,2,1,20.96374,77.822864
LA-1132,Kolhapur,Possession,26,0,45,0,63,0,0,16.807104,74.288517
LA-1133,Nashik,Compensation,85,0,56,1,37,0,0,19.852749,73.899846
LA-1134,Nagpur,Possession,92,0,73,0,54,1,0,21.010501,79.206392
LA-1135,Amravati,Compensation,62,0,40,1,23,2,1,20.959231,77.905538
LA-1136,Pune,Possession,46,0,93,1,218,0,0,18.616249,73.735155
LA-1137,Kolhapur,Possession,64,1,57,1,201,2,1,16.653022,74.256538
LA-1138,Nashik,Award,2,0,65,1,51,4,1,19.952384,73.861953
LA-1139,Nagpur,Possession,54,1,23,0,171,0,0,21.174704,79.165278
LA-1140,Pune,Survey,107,0,79,1,293,0,1,18.452664,73.888715
LA-1141,Pune,Award,65,1,76,0,145,0,0,18.378383,73.756736
LA-1142,Aurangabad,Possession,51,0,64,0,88,1,0,19.946769,75.432526
LA-1143,Amravati,Notification,53,1,39,0,186,3,1,20.975095,77.845633
LA-1144,Nashik,Survey,36,1,36,0,83,1,1,20.021727,73.665641
LA-1145,Nagpur,Survey,115,0,90,0,219,0,0,21.218305,79.077343
LA-1146,Aurangabad,Survey,26,0,23,0,18,0,0,19.928769,75.245493
LA-1147,Amravati,Award,29,0,33,0,219,0,0,20.849165,77.730843
LA-1148,Aurangabad,Possession,21,0,22,1,132,1,1,19.831944,75.198724
LA-1149,Kolhapur,Possession,11,0,99,1,252,1,0,16.592833,74.213399
LA-1150,Amravati,Notification,40,0,77,0,33,2,1,20.826357,77.794563
LA-1151,Amravati,Notification,11,0,74,0,284,1,0,20.990259,77.815475
LA-1152,Nashik,Survey,36,0,23,0,206,1,0,20.10508,73.838847
LA-1153,Amravati,Notification,113,1,43,0,61,0,1,21.07622,77.880487
LA-1154,Aurangabad,Award,59,0,53,0,222,0,0,19.914704,75.257939
LA-1155,Amravati,Possession,39,1,49,0,66,2,1,20.84263,77.665745
LA-1156,Nashik,Survey,104,0,38,0,161,4,1,19.879195,73.895261
LA-1157,Nashik,Notification,99,0,50,1,206,2,1,20.091355,73.686784
LA-1158,Kolhapur,Award,54,0,79,0,21,1,0,16.728627,74.385728
LA-1159,Aurangabad,Award,98,0,79,0,10,2,1,19.911686,75.446061
LA-1160,Pune,Notification,55,1,38,0,62,1,1,18.604839,73.856963
LA-1161,Pune,Possession,111,0,68,0,173,0,0,18.581383,74.001126
LA-1162,Amravati,Notification,24,1,82,0,86,1,0,21.037737,77.658813
LA-1163,Kolhapur,Survey,118,0,41,1,223,0,1,16.571864,74.18422
LA-1164,Nagpur,Notification,22,0,43,0,181,2,0,21.220056,79.129667
LA-1165,Amravati,Award,69,0,95,0,208,2,0,21.042656,77.734602
LA-1166,Kolhapur,Notification,56,0,49,1,75,0,0,16.640841,74.371812
LA-1167,Aurangabad,Possession,33,0,77,1,270,1,1,19.918334,75.212988
LA-1168,Aurangabad,Compensation,36,0,50,1,102,3,1,19.820449,75.358124
LA-1169,Aurangabad,Notification,111,0,83,0,295,2,1,20.013591,75.37056
LA-1170,Aurangabad,Possession,20,0,38,1,212,0,0,19.736227,75.389118
LA-1171,Aurangabad,Possession,83,0,67,0,6,0,0,19.900138,75.27
LA-1172,Kolhapur,Award,99,0,64,0,128,2,1,16.604951,74.20267
LA-1173,Kolhapur,Possession,116,0,74,0,284,1,1,16.768666,74.346404
LA-1174,Nashik,Possession,107,0,74,0,78,1,0,19.900267,73.698283
LA-1175,Pune,Possession,81,0,37,0,170,3,0,18.441015,73.95476
LA-1176,Aurangabad,Possession,62,0,82,0,26,1,0,19.874511,75.362097
LA-1177,Nagpur,Survey,109,0,66,1,158,1,1,21.27025,79.166856
LA-1178,Kolhapur,Survey,107,0,94,1,299,0,0,16.618514,74.307382
LA-1179,Nagpur,Award,98,0,76,1,223,1,0,21.039072,79.000453
LA-1180,Nagpur,Notification,73,1,64,0,161,1,1,21.223493,79.108844
LA-1181,Nagpur,Possession,26,0,52,1,234,2,1,21.145986,79.198517
LA-1182,Nashik,Notification,66,0,36,0,24,1,0,20.121036,73.769435
LA-1183,Kolhapur,Notification,117,0,89,1,45,1,1,16.598984,74.383277
LA-1184,Nagpur,Award,73,0,23,0,152,0,0,21.189578,79.073865
LA-1185,Aurangabad,Possession,73,0,39,1,112,3,1,19.796064,75.236136
LA-1186,Amravati,Possession,40,0,66,0,88,1,0,20.834428,77.74643
LA-1187,Nagpur,Compensation,17,1,34,1,294,0,1,21.200829,79.223711
LA-1188,Nashik,Notification,1,0,89,1,138,3,0,20.025605,73.735716
LA-1189,Kolhapur,Notification,89,0,66,0,211,0,0,16.781448,74.353729
LA-1190,Nashik,Survey,61,0,97,0,287,1,0,19.940339,73.904175
LA-1191,Nagpur,Compensation,43,0,94,1,270,3,0,21.130191,79.043256
LA-1192,Kolhapur,Survey,104,0,28,0,77,1,1,16.676642,74.118277
LA-1193,Amravati,Survey,42,0,35,1,52,2,1,21.082627,77.846967
LA-1194,Nagpur,Survey,25,0,88,0,237,1,0,21.083475,79.031654
LA-1195,Nashik,Award,39,1,80,0,104,0,1,19.935945,73.874677
LA-1196,Pune,Award,35,0,29,0,63,0,0,18.476764,73.839496
LA-1197,Aurangabad,Survey,3,0,69,0,262,1,0,19.895578,75.33888
LA-1198,Nashik,Compensation,114,0,22,1,69,2,1,19.923197,73.873173
LA-1199,Kolhapur,Notification,101,0,96,0,87,1,0,16.829587,74.208009
LA-1200,Nagpur,Compensation,108,0,89,0,158,0,0,21.075506,79.071138
LA-1201,Aurangabad,Possession,44,0,70,0,270,1,0,19.994945,75.306157
LA-1202,Nagpur,Award,51,1,38,0,83,1,1,21.026843,79.048402
LA-1203,Kolhapur,Notification,94,1,61,1,154,2,1,16.751969,74.251084
LA-1204,Nagpur,Notification,102,0,54,1,52,3,1,21.267896,79.18084
LA-1205,Pune,Possession,98,1,65,0,252,5,1,18.421025,73.81523
LA-1206,Aurangabad,Possession,12,0,45,1,282,2,1,20.016698,75.350576
LA-1207,Aurangabad,Survey,19,0,88,1,102,2,0,19.862065,75.394518
LA-1208,Kolhapur,Award,101,0,83,0,29,0,0,16.838715,74.174132
LA-1209,Pune,Award,44,1,56,1,288,3,1,18.573446,73.789957
LA-1210,Nashik,Compensation,59,0,68,0,72,2,0,19.937976,73.919824
LA-1211,Nagpur,Survey,49,0,40,0,11,2,0,21.052291,79.15526
LA-1212,Amravati,Survey,61,0,93,1,141,1,0,20.878521,77.802756
LA-1213,Nagpur,Survey,17,0,83,0,168,1,0,21.023705,79.132516
LA-1214,Nagpur,Survey,74,0,24,1,87,0,0,21.03896,78.94699
LA-1215,Nashik,Award,57,0,89,1,142,0,0,19.878898,73.825231
LA-1216,Nagpur,Award,55,0,23,0,77,3,1,21.122683,79.091053
LA-1217,Pune,Survey,113,0,58,1,241,1,0,18.609074,73.870425
LA-1218,Pune,Compensation,47,0,54,0,50,3,1,18.412815,73.814527
LA-1219,Aurangabad,Notification,12,0,20,0,110,0,0,19.765296,75.217742
LA-1220,Kolhapur,Notification,62,0,43,1,292,1,1,16.748029,74.151302
LA-1221,Amravati,Compensation,80,0,76,1,266,2,1,20.846555,77.914823
LA-1222,Nagpur,Survey,88,0,89,0,180,0,0,21.025083,79.06081
LA-1223,Nagpur,Award,83,0,60,0,170,1,0,21.045855,79.078205
LA-1224,Nashik,Notification,8,0,73,1,149,1,0,20.124619,73.655613
LA-1225,Kolhapur,Possession,95,1,65,1,287,1,1,16.801441,74.10457
LA-1226,Pune,Possession,21,0,79,1,58,1,0,18.476619,73.921854
LA-1227,Amravati,Compensation,81,0,79,0,182,0,0,20.984146,77.791028
LA-1228,Aurangabad,Survey,87,0,76,0,248,2,1,19.887383,75.345912
LA-1229,Pune,Notification,101,0,50,0,131,0,1,18.573537,73.779637
LA-1230,Kolhapur,Survey,118,0,43,1,275,1,1,16.759801,74.316725
LA-1231,Aurangabad,Notification,80,0,55,0,136,0,0,19.91482,75.243771
LA-1232,Nashik,Compensation,70,0,49,0,97,2,1,19.92733,73.69678
LA-1233,Nashik,Compensation,72,0,43,1,77,0,0,19.859202,73.778014
LA-1234,Nagpur,Possession,25,1,49,0,252,0,1,21.13247,79.024084
LA-1235,Kolhapur,Survey,82,1,26,1,277,2,1,16.822292,74.167539
LA-1236,Amravati,Possession,89,0,54,1,47,0,0,20.958249,77.823171
LA-1237,Aurangabad,Survey,12,0,74,1,45,3,1,19.975917,75.388592
LA-1238,Pune,Possession,15,1,33,0,174,0,1,18.667887,73.954055
LA-1239,Kolhapur,Award,59,0,29,0,216,1,1,16.604085,74.218613
LA-1240,Kolhapur,Award,26,0,99,1,172,0,0,16.762533,74.115226
LA-1241,Nashik,Award,105,1,35,1,43,1,1,20.049788,73.7219
LA-1242,Nagpur,Award,109,0,73,1,249,1,0,21.289787,79.232202
LA-1243,Nagpur,Notification,26,0,96,0,155,0,0,21.29148,79.117078
LA-1244,Aurangabad,Award,47,1,89,1,115,1,1,19.932204,75.406221
LA-1245,Nashik,Compensation,32,0,63,1,51,2,1,19.920584,73.642007
LA-1246,Kolhapur,Compensation,10,0,92,1,67,1,0,16.794567,74.248762
LA-1247,Amravati,Notification,16,0,64,1,229,2,1,20.819509,77.640859
LA-1248,Nashik,Award,71,1,75,1,73,0,1,20.08171,73.810569
LA-1249,Aurangabad,Award,17,1,76,1,294,2,1,19.999259,75.469531
LA-1250,Aurangabad,Award,23,1,40,0,207,0,0,19.84105,75.483826
LA-1251,Nashik,Possession,26,0,87,0,65,0,0,20.036691,73.801966
LA-1252,Aurangabad,Survey,85,1,69,0,165,2,1,19.855243,75.330761
LA-1253,Nashik,Possession,86,1,52,0,20,1,1,19.97883,73.923305
LA-1254,Pune,Survey,7,0,26,0,98,1,0,18.463511,73.908783
LA-1255,Nashik,Award,14,1,89,0,142,0,0,20.076139,73.65927
LA-1256,Nashik,Award,79,1,34,0,42,1,1,20.128353,73.779518
LA-1257,Aurangabad,Possession,117,0,51,0,131,1,1,20.008425,75.265374
LA-1258,Aurangabad,Possession,7,0,94,1,279,1,0,19.778634,75.334241
LA-1259,Nagpur,Survey,9,0,39,1,168,1,0,21.258223,79.07484
LA-1260,Nagpur,Compensation,115,0,34,0,81,3,1,21.217029,79.112843
LA-1261,Pune,Survey,48,0,67,1,178,0,0,18.446251,73.813731
LA-1262,Nagpur,Possession,72,0,90,0,95,0,0,21.015985,78.987481
LA-1263,Nashik,Possession,114,1,40,0,242,1,1,19.927899,73.790916
LA-1264,Aurangabad,Notification,59,1,61,0,268,1,1,19.999862,75.442361
LA-1265,Nagpur,Possession,87,1,45,0,183,0,1,21.185754,79.137404
LA-1266,Nagpur,Notification,93,0,33,1,213,1,1,21.212116,79.03971
LA-1267,Pune,Compensation,82,0,76,1,77,0,1,18.447546,73.987357
LA-1268,Kolhapur,Survey,95,0,56,0,111,1,1,16.770816,74.366962
LA-1269,Pune,Survey,94,0,77,0,299,2,0,18.378836,73.769505
LA-1270,Nashik,Notification,116,1,40,0,288,0,1,19.960096,73.651625
LA-1271,Aurangabad,Survey,39,1,88,0,186,1,0,19.914226,75.415693
LA-1272,Pune,Possession,99,0,22,0,41,4,1,18.414229,73.954983
LA-1273,Nagpur,Award,18,1,56,0,141,0,1,21.242701,79.228559
LA-1274,Aurangabad,Notification,59,1,68,1,60,1,1,19.796709,75.460251
LA-1275,Aurangabad,Survey,106,0,38,1,191,1,1,19.921884,75.37346
LA-1276,Nagpur,Notification,103,1,31,0,262,0,1,21.117359,79.097216
LA-1277,Pune,Notification,17,0,80,1,62,1,0,18.549213,73.715052
LA-1278,Nagpur,Award,14,0,60,0,127,4,0,21.028035,79.012197
LA-1279,Kolhapur,Possession,31,0,52,0,192,1,0,16.560074,74.231184
LA-1280,Aurangabad,Notification,24,0,69,0,234,1,0,19.999069,75.381851
LA-1281,Amravati,Survey,99,0,87,1,172,1,0,20.868289,77.796776
LA-1282,Amravati,Compensation,108,0,90,1,118,1,0,21.033303,77.852391
LA-1283,Nashik,Notification,60,0,52,1,256,1,0,20.147305,73.72373
LA-1284,Nagpur,Notification,45,0,43,0,111,3,0,21.059229,79.107686
LA-1285,Nagpur,Award,98,0,80,1,41,1,0,21.075351,78.964643
LA-1286,Nashik,Possession,3,0,80,0,96,1,0,20.046358,73.7639
LA-1287,Nashik,Compensation,37,0,47,1,22,2,1,20.137135,73.864848
LA-1288,Nashik,Survey,43,0,77,0,67,0,0,20.122244,73.84782
LA-1289,Aurangabad,Compensation,40,0,62,0,154,1,0,19.877063,75.490493
LA-1290,Kolhapur,Survey,90,0,60,0,143,1,0,16.793533,74.176667
LA-1291,Nagpur,Possession,55,0,58,1,190,0,0,21.036524,79.087657
LA-1292,Aurangabad,Survey,87,0,68,0,189,3,1,20.019431,75.292159
LA-1293,Nashik,Award,108,1,36,1,209,2,1,20.136806,73.771981
LA-1294,Nagpur,Award,39,0,89,0,264,2,0,21.044919,79.195285
LA-1295,Aurangabad,Award,15,0,89,1,218,0,0,19.816027,75.398563
LA-1296,Kolhapur,Award,113,1,84,1,260,1,1,16.585046,74.358032
LA-1297,Aurangabad,Compensation,4,1,93,1,139,1,1,19.807715,75.254353
LA-1298,Kolhapur,Possession,93,1,24,0,65,2,1,16.799787,74.355308
LA-1299,Nashik,Survey,86,1,21,0,92,0,1,19.960995,73.657729
LA-1300,Kolhapur,Survey,25,0,41,0,211,0,0,16.581519,74.35988
LA-1301,Nagpur,Award,13,0,76,1,133,2,0,21.098468,79.036922
LA-1302,Nashik,Award,82,0,85,0,7,1,0,20.141915,73.734176
LA-1303,Nagpur,Notification,33,0,93,0,246,2,0,21.184705,79.091827
LA-1304,Amravati,Possession,16,0,35,0,125,1,0,20.912248,77.911807
LA-1305,Pune,Compensation,109,0,70,0,106,0,0,18.420362,73.721034
LA-1306,Kolhapur,Survey,42,0,58,1,42,0,1,16.850853,74.198969
LA-1307,Pune,Notification,108,1,95,0,137,0,1,18.616655,73.963672
LA-1308,Pune,Notification,66,1,59,1,206,1,1,18.454843,73.825516
LA-1309,Kolhapur,Survey,55,0,57,0,25,1,0,16.576021,74.153047
LA-1310,Nashik,Compensation,99,1,79,0,246,0,1,19.864488,73.767238
LA-1311,Amravati,Notification,42,0,78,0,113,2,0,20.823513,77.745266
LA-1312,Nagpur,Notification,34,1,29,0,88,2,1,21.170031,79.212825
LA-1313,Aurangabad,Possession,30,0,83,0,87,1,0,20.004829,75.42188
LA-1314,Nagpur,Compensation,119,1,82,1,295,0,1,21.144823,79.089735
LA-1315,Aurangabad,Notification,13,0,68,0,73,1,0,19.979084,75.489811
LA-1316,Nagpur,Compensation,13,0,83,1,133,2,0,21.129566,79.077783
LA-1317,Kolhapur,Survey,18,0,51,0,200,1,0,16.767575,74.110771
LA-1318,Amravati,Award,32,0,26,0,144,3,1,21.006962,77.708282
LA-1319,Aurangabad,Notification,96,0,40,1,287,3,1,19.778389,75.324121
LA-1320,Nashik,Possession,99,0,39,0,238,0,0,19.955865,73.686871
LA-1321,Nagpur,Survey,39,0,45,0,27,0,0,21.186991,79.22247
LA-1322,Nagpur,Compensation,46,0,87,0,157,0,0,21.017009,79.168255
LA-1323,Aurangabad,Survey,116,0,34,0,281,2,1,19.834662,75.273786
LA-1324,Nashik,Notification,29,1,98,1,65,0,1,20.00794,73.817041
LA-1325,Nashik,Compensation,62,0,33,0,56,1,1,20.146367,73.856235
LA-1326,Kolhapur,Award,113,0,46,1,157,2,1,16.69736,74.375684
LA-1327,Kolhapur,Survey,93,0,59,1,241,0,1,16.799817,74.357791
LA-1328,Kolhapur,Notification,62,1,77,0,36,0,0,16.68462,74.247858
LA-1329,Kolhapur,Possession,117,0,47,1,59,3,1,16.793917,74.325696
LA-1330,Kolhapur,Compensation,108,1,45,0,40,1,1,16.733624,74.261943
LA-1331,Kolhapur,Survey,57,1,82,1,114,1,1,16.820979,74.259111
LA-1332,Amravati,Survey,16,0,85,0,181,0,0,20.910683,77.664023
LA-1333,Nashik,Award,56,0,44,1,299,1,0,20.028791,73.677641
LA-1334,Kolhapur,Award,108,1,22,0,101,0,1,16.744006,74.25216
LA-1335,Nashik,Possession,111,1,91,0,217,0,1,19.972715,73.720458
LA-1336,Nashik,Possession,10,0,63,1,141,3,1,19.890794,73.646111
LA-1337,Pune,Notification,30,0,61,1,10,1,0,18.398468,73.923552
LA-1338,Amravati,Notification,25,1,25,0,113,1,1,20.792401,77.639346
LA-1339,Kolhapur,Possession,103,0,58,0,39,1,0,16.81706,74.271883
LA-1340,Nagpur,Possession,84,1,71,1,43,0,1,21.066742,79.099958
LA-1341,Aurangabad,Compensation,5,0,42,1,154,0,0,19.789652,75.483944
LA-1342,Nagpur,Award,65,0,69,1,122,1,0,21.216611,79.083464
LA-1343,Amravati,Notification,94,1,62,1,265,0,1,20.883405,77.64868
LA-1344,Aurangabad,Award,49,0,38,1,91,2,1,19.878013,75.358806
LA-1345,Amravati,Award,3,0,88,1,80,4,1,20.836153,77.881929
LA-1346,Nashik,Possession,45,0,70,0,218,1,0,20.135424,73.938855
LA-1347,Aurangabad,Compensation,14,0,30,0,289,2,0,19.981674,75.322403
